nose_shoulder_angle,left_elbow_angle,right_elbow_angle,right_knee_angle,left_knee_angle,shoulder_angle,right_ankle_angle,right_hip_angle,left_ankle_angle,left_hip_angle
2.825901162,159.4894828,162.25758,154.8927679,101.5341168,167.0417367,97.57502723,8.151909446,91.30623459,39.71492478
4.988234227,157.6774631,165.1412329,139.9079876,124.8811583,171.7555676,82.42575296,0.951394868,86.67944674,13.02705333
6.810199405,159.2254852,160.6983905,134.7072006,135.4982253,173.373573,77.33092136,3.596992851,83.5939394,5.632530925
7.000585766,158.8819538,160.4341138,147.8357463,151.2564211,172.7851825,83.61004168,4.595792715,93.05661801,3.595103986
6.012296932,142.6142519,153.035659,158.4269,175.0560801,168.3250701,73.34347773,9.962420631,135.1865615,14.433838
3.634476362,157.8865068,153.2799425,162.0100831,178.404805,161.5955599,69.27505825,11.57264925,133.7202665,11.70111682
2.475745778,172.2479962,152.6080067,156.4235311,175.5711798,158.6429773,63.51962812,8.207421847,134.924159,14.73385226
2.742786593,169.2936312,151.849091,158.3425012,178.2156486,157.9614107,61.4995575,7.692783863,132.0576046,12.37094706
3.39925086,166.4059623,150.5368511,159.490515,173.0281013,158.9694553,62.89051482,6.361054831,127.427021,9.00323622
4.598793545,166.8730117,150.0394175,173.9508542,141.8300021,160.6367918,127.1622866,17.42865819,72.3158082,9.159552819
7.460621867,166.2718165,148.3863407,121.0337538,147.6795039,162.8696235,77.99296321,25.52992497,138.4150209,34.22654191
7.337890377,165.0535845,148.0787195,111.3550779,153.3579489,162.7487241,95.92643479,37.89779153,133.2851254,31.06859826
6.801289573,163.2570524,147.0501786,108.1568423,160.4316259,162.4560159,66.01107772,30.29515486,126.9980776,26.7361132
6.817198694,161.692911,155.3862788,105.6018579,177.3508511,164.0100895,74.56647355,32.07988099,109.9459177,16.9745861
5.19139629,157.8989665,161.4155089,107.3713218,154.9259277,167.6669282,80.06084009,30.66746669,96.16485855,5.385584236
4.547288374,155.651246,165.7672682,118.7445182,139.2336982,169.86043,78.74228614,17.14992107,87.00370791,2.607952416
2.074415401,153.9081473,155.513575,126.0659834,139.9356921,165.6305678,78.77718708,8.728059914,86.96810154,4.084490525
0.666642003,156.1572256,147.2864263,131.6330058,152.3981956,160.0493869,90.32854267,3.874549441,83.93180351,1.835307459
